MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUEL,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,196
2014,ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,221
2014,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,136
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,255
2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,244
2014,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,230
2014,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,232
2014,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,255
2014,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,267
2014,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,212
2014,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,225
2014,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,239
2014,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,193
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,359
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,338
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,354
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,338
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,354
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,359
2014,AUDI,A4,COMPACT,2,4,AV8,Z,9.9,202
2014,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,230
2014,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,214
2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,214
2014,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,12,235
2014,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,12.8,251
2014,AUDI,A6 QUATTRO TDI,MID-SIZE,3,6,AS8,D,9.8,224
2014,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,13.1,258
2014,AUDI,A7 QUATTRO TDI,MID-SIZE,3,6,AS8,D,9.8,224
2014,AUDI,A8,MID-SIZE,3,6,AS8,Z,13.1,258
2014,AUDI,A8,MID-SIZE,4,8,AS8,Z,13.5,260
2014,AUDI,A8 TDI,MID-SIZE,3,6,AS8,D,10,227
2014,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,258
2014,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7,288
2014,AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.2,361
2014,AUDI,A8L TDI,FULL-SIZE,3,6,AS8,D,10.1,230
2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,242
2014,AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,239
2014,AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9,258
2014,AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,212
2014,AUDI,Q5 TDI,SUV - SMALL,3,6,AS8,D,10.3,246
2014,AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,304
2014,AUDI,Q7 TDI,SUV - STANDARD,3,6,AS8,D,12.9,294
2014,AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,336
